Datacode,Rectype,RecYear,monthday,Watershed,fireFrequency,LastFire,LastWildfire,Species,CensusReplicate,GalledStems,SampledStems
cgp01,1,1988,,004a,4,1,,vernonia,4,6,50
cgp01,1,1988,,004d,4,3,,ceanothus,1,25,100
cgp01,1,1988,,004d,4,3,,ceanothus,2,22,100
cgp01,1,1988,,004d,4,3,,ceanothus,3,25,100
cgp01,1,1988,,004d,4,3,,ceanothus,4,34,100
cgp01,1,1988,,004d,4,3,,solidago,1,4,200
cgp01,1,1988,,004d,4,3,,solidago,2,0,200
cgp01,1,1988,,004d,4,3,,solidago,3,0,200
cgp01,1,1988,,004d,4,3,,solidago,4,0,200
cgp01,1,1988,,004d,4,3,,solidago,5,4,200
cgp01,1,1988,,004d,4,3,,solidago,6,6,200
cgp01,1,1988,,004d,4,3,,solidago,7,16,200
cgp01,1,1988,,004d,4,3,,solidago,8,16,200
cgp01,1,1988,,004d,4,3,,solidago,9,24,200
cgp01,1,1988,,004d,4,3,,solidago,10,36,200
cgp01,1,1988,,004d,4,3,,vernonia,1,8,50
cgp01,1,1988,,004d,4,3,,vernonia,2,11,50
cgp01,1,1988,,004d,4,3,,vernonia,3,5,50
cgp01,1,1988,,004d,4,3,,vernonia,4,12,50
cgp01,1,1988,,020a,20,9,,ceanothus,1,40,100
cgp01,1,1988,,020a,20,9,,ceanothus,2,26,100
cgp01,1,1988,,020a,20,9,,ceanothus,3,30,100
cgp01,1,1988,,020a,20,9,,ceanothus,4,53,100
cgp01,1,1988,,020a,20,9,,solidago,1,68,200
cgp01,1,1988,,020a,20,9,,solidago,2,4,200
cgp01,1,1988,,020a,20,9,,solidago,3,52,200
cgp01,1,1988,,020a,20,9,,solidago,4,14,200
cgp01,1,1988,,020a,20,9,,solidago,5,40,200
cgp01,1,1988,,020a,20,9,,solidago,6,64,200
cgp01,1,1988,,020a,20,9,,solidago,7,0,200
cgp01,1,1988,,020a,20,9,,solidago,8,10,200
cgp01,1,1988,,020a,20,9,,solidago,9,8,200
cgp01,1,1988,,020a,20,9,,solidago,10,0,200
cgp01,1,1988,,020a,20,9,,vernonia,1,18,50
cgp01,1,1988,,020a,20,9,,vernonia,2,7,50
cgp01,1,1988,,020a,20,9,,vernonia,3,1,50
cgp01,1,1988,,020a,20,9,,vernonia,4,11,50
cgp01,1,1988,,020b,20,14,,ceanothus,1,50,100
cgp01,1,1988,,020b,20,14,,ceanothus,2,49,100
cgp01,1,1988,,020b,20,14,,ceanothus,3,44,100
cgp01,1,1988,,020b,20,14,,ceanothus,4,39,100
cgp01,1,1988,,020b,20,14,,solidago,1,32,200
cgp01,1,1988,,020b,20,14,,solidago,2,2,200
cgp01,1,1988,,020b,20,14,,solidago,3,54,200
cgp01,1,1988,,020b,20,14,,solidago,4,0,200
cgp01,1,1988,,020b,20,14,,solidago,5,12,200
cgp01,1,1988,,020b,20,14,,solidago,6,2,200
cgp01,1,1988,,020b,20,14,,solidago,7,2,200
cgp01,1,1988,,020b,20,14,,solidago,8,0,200
cgp01,1,1988,,020b,20,14,,solidago,9,2,200
cgp01,1,1988,,020b,20,14,,solidago,10,28,200
cgp01,1,1988,,020b,20,14,,vernonia,1,24,50
cgp01,1,1988,,020b,20,14,,vernonia,2,16,50
cgp01,1,1988,,020b,20,14,,vernonia,3,21,50
cgp01,1,1988,,020b,20,14,,vernonia,4,14,50
cgp01,1,1989,,010a,10,9,,ceanothus,1,39,100
cgp01,1,1989,,010a,10,9,,ceanothus,2,52,100
cgp01,1,1989,,010a,10,9,,ceanothus,3,56,100
cgp01,1,1989,,010a,10,9,,ceanothus,4,35,100
cgp01,1,1989,,010a,10,9,,ceanothus,5,48,100
cgp01,1,1989,,010a,10,9,,ceanothus,6,40,100
cgp01,1,1989,,010a,10,9,,ceanothus,7,54,100
cgp01,1,1989,,010a,10,9,,ceanothus,8,42,100
cgp01,1,1989,,010a,10,9,,ceanothus,9,32,100
cgp01,1,1989,,010a,10,9,,ceanothus,10,35,100
cgp01,1,1989,,010a,10,9,,ceanothus,11,37,100
cgp01,1,1989,,010a,10,9,,ceanothus,12,46,100
cgp01,1,1989,,010a,10,9,,ceanothus,13,77,100
cgp01,1,1989,,010a,10,9,,ceanothus,14,69,100
cgp01,1,1989,,010a,10,9,,ceanothus,15,72,100
cgp01,1,1989,,010a,10,9,,solidago,1,25,200
cgp01,1,1989,,010a,10,9,,solidago,2,20,200
cgp01,1,1989,,010a,10,9,,solidago,3,3,200
cgp01,1,1989,,010a,10,9,,solidago,4,10,200
cgp01,1,1989,,010a,10,9,,solidago,5,8,200
cgp01,1,1989,,010a,10,9,,solidago,6,7,200
cgp01,1,1989,,010a,10,9,,solidago,7,8,200
cgp01,1,1989,,010a,10,9,,solidago,8,0,200
cgp01,1,1989,,010a,10,9,,solidago,9,0,200
cgp01,1,1989,,010a,10,9,,solidago,10,0,200
cgp01,1,1989,,010a,10,9,,solidago,11,3,200
cgp01,1,1989,,010a,10,9,,solidago,12,3,200
cgp01,1,1989,,010a,10,9,,solidago,13,0,200
cgp01,1,1989,,010a,10,9,,solidago,14,4,200
cgp01,1,1989,,010a,10,9,,solidago,15,1,200
cgp01,1,1989,,010a,10,9,,solidago,16,13,200
cgp01,1,1989,,010a,10,9,,solidago,17,26,200
cgp01,1,1989,,010a,10,9,,solidago,18,30,200
cgp01,1,1989,,010a,10,9,,vernonia,1,4,50
cgp01,1,1989,,010a,10,9,,vernonia,2,7,50
cgp01,1,1989,,010a,10,9,,vernonia,3,11,50
cgp01,1,1989,,010a,10,9,,vernonia,4,3,50
cgp01,1,1989,,010b,10,4,,ceanothus,1,61,100
cgp01,1,1989,,010b,10,4,,ceanothus,2,60,100
cgp01,1,1989,,010b,10,4,,ceanothus,3,28,100
cgp01,1,1989,,010b,10,4,,ceanothus,4,51,100
cgp01,1,1989,,010b,10,4,,ceanothus,5,57,100
cgp01,1,1989,,010b,10,4,,ceanothus,6,48,100
cgp01,1,1989,,010b,10,4,,ceanothus,7,55,100
cgp01,1,1989,,010b,10,4,,ceanothus,8,30,100
cgp01,1,1989,,010b,10,4,,ceanothus,9,35,100
cgp01,1,1989,,010b,10,4,,ceanothus,10,54,100
cgp01,1,1989,,010b,10,4,,ceanothus,11,50,100
cgp01,1,1989,,010b,10,4,,ceanothus,12,54,100
cgp01,1,1989,,010b,10,4,,ceanothus,13,67,100
cgp01,1,1989,,010b,10,4,,ceanothus,14,48,100
cgp01,1,1989,,010b,10,4,,ceanothus,15,51,100
cgp01,1,1989,,010b,10,4,,solidago,1,19,200
cgp01,1,1989,,010b,10,4,,solidago,2,39,200
cgp01,1,1989,,010b,10,4,,solidago,3,29,200
cgp01,1,1989,,010b,10,4,,solidago,4,25,200
cgp01,1,1989,,010b,10,4,,solidago,5,0,200
cgp01,1,1989,,010b,10,4,,solidago,6,7,200
cgp01,1,1989,,010b,10,4,,solidago,7,3,200
cgp01,1,1989,,010b,10,4,,solidago,8,7,200
cgp01,1,1989,,010b,10,4,,solidago,9,0,200
cgp01,1,1989,,010b,10,4,,solidago,10,8,200
cgp01,1,1989,,010b,10,4,,solidago,11,7,200
cgp01,1,1989,,010b,10,4,,solidago,12,2,200
cgp01,1,1989,,010b,10,4,,solidago,13,10,200
cgp01,1,1989,,010b,10,4,,solidago,14,9,200
cgp01,1,1989,,010b,10,4,,solidago,15,1,200
cgp01,1,1989,,010b,10,4,,solidago,16,0,200
cgp01,1,1989,,010b,10,4,,solidago,17,14,200
cgp01,1,1989,,010b,10,4,,solidago,18,6,200
cgp01,1,1989,,010b,10,4,,vernonia,1,8,50
cgp01,1,1989,,010b,10,4,,vernonia,2,8,50
cgp01,1,1989,,010b,10,4,,vernonia,3,6,50
cgp01,1,1989,,010b,10,4,,vernonia,4,9,50
cgp01,1,1989,,010c,10,9,,ceanothus,1,38,100
cgp01,1,1989,,010c,10,9,,ceanothus,2,48,100
cgp01,1,1989,,010c,10,9,,ceanothus,3,43,100
cgp01,1,1989,,010c,10,9,,ceanothus,4,50,100
cgp01,1,1989,,010c,10,9,,ceanothus,5,28,100
cgp01,1,1989,,010c,10,9,,ceanothus,6,40,100
cgp01,1,1989,,010c,10,9,,ceanothus,7,40,100
cgp01,1,1989,,010c,10,9,,ceanothus,8,44,100
cgp01,1,1989,,010c,10,9,,ceanothus,9,35,100
cgp01,1,1989,,010c,10,9,,ceanothus,10,55,100
cgp01,1,1989,,010c,10,9,,ceanothus,11,51,100
cgp01,1,1989,,010c,10,9,,ceanothus,12,35,100
cgp01,1,1989,,010c,10,9,,ceanothus,13,26,100
cgp01,1,1989,,010c,10,9,,ceanothus,14,47,100
cgp01,1,1989,,010c,10,9,,ceanothus,15,42,100
cgp01,1,1989,,010c,10,9,,solidago,1,0,200
cgp01,1,1989,,010c,10,9,,solidago,2,0,200
cgp01,1,1989,,010c,10,9,,solidago,3,4,200
cgp01,1,1989,,010c,10,9,,solidago,4,16,200
cgp01,1,1989,,010c,10,9,,solidago,5,17,200
cgp01,1,1989,,010c,10,9,,solidago,6,27,200
cgp01,1,1989,,010c,10,9,,solidago,7,16,200
cgp01,1,1989,,010c,10,9,,solidago,8,12,200
cgp01,1,1989,,010c,10,9,,solidago,9,0,200
cgp01,1,1989,,010c,10,9,,solidago,10,3,200
cgp01,1,1989,,010c,10,9,,solidago,11,0,200
cgp01,1,1989,,010c,10,9,,solidago,12,26,200
cgp01,1,1989,,010c,10,9,,solidago,13,23,200
cgp01,1,1989,,010c,10,9,,solidago,14,12,200
cgp01,1,1989,,010c,10,9,,solidago,15,14,200
cgp01,1,1989,,010c,10,9,,solidago,16,13,200
cgp01,1,1989,,010c,10,9,,solidago,17,13,200
cgp01,1,1989,,010c,10,9,,solidago,18,12,200
cgp01,1,1989,,010c,10,9,,vernonia,1,7,50
cgp01,1,1989,,010c,10,9,,vernonia,2,10,50
cgp01,1,1989,,010c,10,9,,vernonia,3,5,50
cgp01,1,1989,,010c,10,9,,vernonia,4,11,50
cgp01,1,1989,,010d,10,4,,solidago,1,14,200
cgp01,1,1989,,010d,10,4,,solidago,2,18,200
cgp01,1,1989,,010d,10,4,,solidago,3,8,200
cgp01,1,1989,,010d,10,4,,solidago,4,15,200
cgp01,1,1989,,010d,10,4,,solidago,5,8,200
cgp01,1,1989,,010d,10,4,,solidago,6,12,200
cgp01,1,1989,,010d,10,4,,solidago,7,3,200
cgp01,1,1989,,010d,10,4,,solidago,8,7,200
cgp01,1,1989,,010d,10,4,,solidago,9,12,200
cgp01,1,1989,,010d,10,4,,solidago,10,4,200
cgp01,1,1989,,010d,10,4,,solidago,11,11,200
cgp01,1,1989,,010d,10,4,,solidago,12,6,200
cgp01,1,1989,,010d,10,4,,solidago,13,2,200
cgp01,1,1989,,010d,10,4,,solidago,14,5,200
cgp01,1,1989,,010d,10,4,,solidago,15,5,200
cgp01,1,1989,,010d,10,4,,solidago,16,7,200
cgp01,1,1989,,010d,10,4,,solidago,17,15,200
cgp01,1,1989,,010d,10,4,,solidago,18,1,200
cgp01,1,1989,,001a,1,1,,ceanothus,1,13,100
cgp01,1,1989,,001a,1,1,,ceanothus,2,15,100
cgp01,1,1989,,001a,1,1,,ceanothus,3,17,100
cgp01,1,1989,,001a,1,1,,ceanothus,4,10,100
cgp01,1,1989,,001a,1,1,,ceanothus,5,35,100
cgp01,1,1989,,001a,1,1,,ceanothus,6,30,100
cgp01,1,1989,,001a,1,1,,ceanothus,7,12,100
cgp01,1,1989,,001a,1,1,,ceanothus,8,13,100
cgp01,1,1989,,001a,1,1,,ceanothus,9,4,100
cgp01,1,1989,,001a,1,1,,ceanothus,10,10,100
cgp01,1,1989,,001a,1,1,,ceanothus,11,13,100
cgp01,1,1989,,001a,1,1,,ceanothus,12,10,100
cgp01,1,1989,,001a,1,1,,ceanothus,13,13,100
cgp01,1,1989,,001a,1,1,,ceanothus,14,17,100
cgp01,1,1989,,001a,1,1,,ceanothus,15,19,100
cgp01,1,1989,,001a,1,1,,solidago,1,0,200
cgp01,1,1989,,001a,1,1,,solidago,2,0,200
cgp01,1,1989,,001a,1,1,,solidago,3,0,200
cgp01,1,1989,,001a,1,1,,solidago,4,0,200
cgp01,1,1989,,001a,1,1,,solidago,5,0,200
cgp01,1,1989,,001a,1,1,,solidago,6,0,200
cgp01,1,1989,,001a,1,1,,solidago,7,0,200
cgp01,1,1989,,001a,1,1,,solidago,8,0,200
cgp01,1,1989,,001a,1,1,,solidago,9,0,200
cgp01,1,1989,,001a,1,1,,solidago,10,0,200
cgp01,1,1989,,001a,1,1,,solidago,11,0,200
cgp01,1,1989,,001a,1,1,,solidago,12,0,200
cgp01,1,1989,,001a,1,1,,solidago,13,0,200
cgp01,1,1989,,001a,1,1,,solidago,14,0,200
cgp01,1,1989,,001a,1,1,,solidago,15,0,200
cgp01,1,1989,,001a,1,1,,solidago,16,5,200
cgp01,1,1989,,001a,1,1,,solidago,17,0,200
cgp01,1,1989,,001a,1,1,,solidago,18,3,200
cgp01,1,1989,,001a,1,1,,vernonia,1,0,50
cgp01,1,1989,,001a,1,1,,vernonia,2,0,50
cgp01,1,1989,,001a,1,1,,vernonia,3,0,50
cgp01,1,1989,,001a,1,1,,vernonia,4,0,50
cgp01,1,1989,,001c,1,1,,ceanothus,1,37,100
cgp01,1,1989,,001c,1,1,,ceanothus,2,27,100
cgp01,1,1989,,001c,1,1,,ceanothus,3,13,100
cgp01,1,1989,,001c,1,1,,ceanothus,4,40,100
cgp01,1,1989,,001c,1,1,,ceanothus,5,20,100
cgp01,1,1989,,001c,1,1,,ceanothus,6,45,100
cgp01,1,1989,,001c,1,1,,ceanothus,7,48,100
cgp01,1,1989,,001c,1,1,,ceanothus,8,16,100
cgp01,1,1989,,001c,1,1,,ceanothus,9,17,100
cgp01,1,1989,,001c,1,1,,ceanothus,10,20,100
cgp01,1,1989,,001c,1,1,,ceanothus,11,45,100
cgp01,1,1989,,001c,1,1,,ceanothus,12,54,100
cgp01,1,1989,,001c,1,1,,ceanothus,13,35,100
cgp01,1,1989,,001c,1,1,,ceanothus,14,35,100
cgp01,1,1989,,001c,1,1,,ceanothus,15,28,100
cgp01,1,1989,,001c,1,1,,solidago,1,0,200
cgp01,1,1989,,001c,1,1,,solidago,2,0,200
cgp01,1,1989,,001c,1,1,,solidago,3,0,200
cgp01,1,1989,,001c,1,1,,solidago,4,1,200
cgp01,1,1989,,001c,1,1,,solidago,5,0,200
cgp01,1,1989,,001c,1,1,,solidago,6,1,200
cgp01,1,1989,,001c,1,1,,solidago,7,0,200
cgp01,1,1989,,001c,1,1,,solidago,8,0,200
cgp01,1,1989,,001c,1,1,,solidago,9,0,200
cgp01,1,1989,,001c,1,1,,solidago,10,1,200
cgp01,1,1989,,001c,1,1,,solidago,11,0,200
cgp01,1,1989,,001c,1,1,,solidago,12,6,200
cgp01,1,1989,,001c,1,1,,solidago,13,6,200
cgp01,1,1989,,001c,1,1,,solidago,14,0,200
cgp01,1,1989,,001c,1,1,,solidago,15,0,200
cgp01,1,1989,,001c,1,1,,solidago,16,1,200
cgp01,1,1989,,001c,1,1,,solidago,17,1,200
cgp01,1,1989,,001c,1,1,,solidago,18,0,200
cgp01,1,1989,,004a,4,2,,ceanothus,1,7,100
cgp01,1,1989,,004a,4,2,,ceanothus,2,16,100
cgp01,1,1989,,004a,4,2,,ceanothus,3,12,100
cgp01,1,1989,,004a,4,2,,ceanothus,4,14,100
cgp01,1,1989,,004a,4,2,,ceanothus,5,12,100
cgp01,1,1989,,004a,4,2,,ceanothus,6,11,100
cgp01,1,1989,,004a,4,2,,ceanothus,7,34,100
cgp01,1,1989,,004a,4,2,,ceanothus,8,8,100
cgp01,1,1989,,004a,4,2,,ceanothus,9,17,100
cgp01,1,1989,,004a,4,2,,ceanothus,10,29,100
cgp01,1,1989,,004a,4,2,,ceanothus,11,22,100
cgp01,1,1989,,004a,4,2,,ceanothus,12,28,100
cgp01,1,1989,,004a,4,2,,ceanothus,13,18,100
cgp01,1,1989,,004a,4,2,,ceanothus,14,14,100
cgp01,1,1989,,004a,4,2,,ceanothus,15,22,100
cgp01,1,1989,,004a,4,2,,solidago,1,10,200
cgp01,1,1989,,004a,4,2,,solidago,2,6,200
cgp01,1,1989,,004a,4,2,,solidago,3,0,200
cgp01,1,1989,,004a,4,2,,solidago,4,2,200
cgp01,1,1989,,004a,4,2,,solidago,5,0,200
cgp01,1,1989,,004a,4,2,,solidago,6,0,200
cgp01,1,1989,,004a,4,2,,solidago,7,4,200
cgp01,1,1989,,004a,4,2,,solidago,8,4,200
cgp01,1,1989,,004a,4,2,,solidago,9,2,200
cgp01,1,1989,,004a,4,2,,solidago,10,4,200
cgp01,1,1989,,004a,4,2,,solidago,11,0,200
cgp01,1,1989,,004a,4,2,,solidago,12,5,200
cgp01,1,1989,,004a,4,2,,solidago,13,0,200
cgp01,1,1989,,004a,4,2,,solidago,14,0,200
cgp01,1,1989,,004a,4,2,,solidago,15,0,200
cgp01,1,1989,,004a,4,2,,solidago,16,3,200
cgp01,1,1989,,004a,4,2,,solidago,17,0,200
cgp01,1,1989,,004a,4,2,,solidago,18,0,200
cgp01,1,1989,,004a,4,2,,vernonia,1,0,50
cgp01,1,1989,,004a,4,2,,vernonia,2,2,50
cgp01,1,1989,,004a,4,2,,vernonia,3,1,50
cgp01,1,1989,,004a,4,2,,vernonia,4,0,50
cgp01,1,1989,,004c,4,1,,ceanothus,1,18,100
cgp01,1,1989,,004c,4,1,,ceanothus,2,21,100
cgp01,1,1989,,004c,4,1,,ceanothus,3,27,100
cgp01,1,1989,,004c,4,1,,ceanothus,4,20,100
cgp01,1,1989,,004c,4,1,,ceanothus,5,22,100
cgp01,1,1989,,004c,4,1,,ceanothus,6,26,100
cgp01,1,1989,,004c,4,1,,ceanothus,7,20,100
cgp01,1,1989,,004c,4,1,,ceanothus,8,41,100
cgp01,1,1989,,004c,4,1,,ceanothus,9,55,100
cgp01,1,1989,,004c,4,1,,ceanothus,10,35,100
cgp01,1,1989,,004c,4,1,,ceanothus,11,20,100
cgp01,1,1989,,004c,4,1,,ceanothus,12,8,100
cgp01,1,1989,,004c,4,1,,ceanothus,13,20,100
cgp01,1,1989,,004c,4,1,,ceanothus,14,27,100
cgp01,1,1989,,004c,4,1,,ceanothus,15,29,100
cgp01,1,1989,,004c,4,1,,solidago,1,0,200
cgp01,1,1989,,004c,4,1,,solidago,2,0,200
cgp01,1,1989,,004c,4,1,,solidago,3,2,200
cgp01,1,1989,,004c,4,1,,solidago,4,1,200
cgp01,1,1989,,004c,4,1,,solidago,5,0,200
cgp01,1,1989,,004c,4,1,,solidago,6,0,200
cgp01,1,1989,,004c,4,1,,solidago,7,0,200
cgp01,1,1989,,004c,4,1,,solidago,8,0,200
cgp01,1,1989,,004c,4,1,,solidago,9,0,200
cgp01,1,1989,,004c,4,1,,solidago,10,0,200
cgp01,1,1989,,004c,4,1,,solidago,11,0,200
cgp01,1,1989,,004c,4,1,,solidago,12,0,200
cgp01,1,1989,,004c,4,1,,solidago,13,0,200
cgp01,1,1989,,004c,4,1,,solidago,14,0,200
cgp01,1,1989,,004c,4,1,,solidago,15,0,200
cgp01,1,1989,,004c,4,1,,solidago,16,0,200
cgp01,1,1989,,004c,4,1,,solidago,17,0,200
cgp01,1,1989,,004c,4,1,,solidago,18,1,200
cgp01,1,1989,,004c,4,1,,vernonia,1,2,50
cgp01,1,1989,,004c,4,1,,vernonia,2,1,50
cgp01,1,1989,,004c,4,1,,vernonia,3,0,50
cgp01,1,1989,,004c,4,1,,vernonia,4,2,50
cgp01,1,1989,,004d,4,4,,ceanothus,1,22,100
cgp01,1,1989,,004d,4,4,,ceanothus,2,15,100
cgp01,1,1989,,004d,4,4,,ceanothus,3,32,100
cgp01,1,1989,,004d,4,4,,ceanothus,4,22,100
cgp01,1,1989,,004d,4,4,,ceanothus,5,35,100
cgp01,1,1989,,004d,4,4,,ceanothus,6,31,100
cgp01,1,1989,,004d,4,4,,ceanothus,7,39,100
cgp01,1,1989,,004d,4,4,,ceanothus,8,44,100
cgp01,1,1989,,004d,4,4,,ceanothus,9,51,100
cgp01,1,1989,,004d,4,4,,ceanothus,10,54,100
cgp01,1,1989,,004d,4,4,,ceanothus,11,74,100
cgp01,1,1989,,004d,4,4,,ceanothus,12,61,100
cgp01,1,1989,,004d,4,4,,ceanothus,13,66,100
cgp01,1,1989,,004d,4,4,,ceanothus,14,67,100
cgp01,1,1989,,004d,4,4,,ceanothus,15,58,100
cgp01,1,1989,,004d,4,4,,solidago,1,0,200
cgp01,1,1989,,004d,4,4,,solidago,2,51,200
cgp01,1,1989,,004d,4,4,,solidago,3,47,200
cgp01,1,1989,,004d,4,4,,solidago,4,56,200
cgp01,1,1989,,004d,4,4,,solidago,5,30,200
cgp01,1,1989,,004d,4,4,,solidago,6,14,200
cgp01,1,1989,,004d,4,4,,solidago,7,9,200
cgp01,1,1989,,004d,4,4,,solidago,8,15,200
cgp01,1,1989,,004d,4,4,,solidago,9,14,200
cgp01,1,1989,,004d,4,4,,solidago,10,10,200
cgp01,1,1989,,004d,4,4,,solidago,11,7,200
cgp01,1,1989,,004d,4,4,,solidago,12,0,200
cgp01,1,1989,,004d,4,4,,solidago,13,0,200
cgp01,1,1989,,004d,4,4,,solidago,14,1,200
cgp01,1,1989,,004d,4,4,,solidago,15,8,200
cgp01,1,1989,,004d,4,4,,solidago,16,0,200
cgp01,1,1989,,004d,4,4,,solidago,17,2,200
cgp01,1,1989,,004d,4,4,,solidago,18,7,200
cgp01,1,1989,,004d,4,4,,vernonia,1,3,50
cgp01,1,1989,,004d,4,4,,vernonia,2,0,50
cgp01,1,1989,,004d,4,4,,vernonia,3,2,50
cgp01,1,1989,,004d,4,4,,vernonia,4,2,50
cgp01,1,1989,,004f,4,1,,ceanothus,1,31,100
cgp01,1,1989,,004f,4,1,,ceanothus,2,20,100
cgp01,1,1989,,004f,4,1,,ceanothus,3,32,100
cgp01,1,1989,,004f,4,1,,ceanothus,4,31,100
cgp01,1,1989,,004f,4,1,,ceanothus,5,28,100
cgp01,1,1989,,004f,4,1,,ceanothus,6,26,100
cgp01,1,1989,,004f,4,1,,ceanothus,7,27,100
cgp01,1,1989,,004f,4,1,,ceanothus,8,19,100
cgp01,1,1989,,004f,4,1,,ceanothus,9,21,100
cgp01,1,1989,,004f,4,1,,ceanothus,10,24,100
cgp01,1,1989,,004f,4,1,,ceanothus,11,18,100
cgp01,1,1989,,004f,4,1,,ceanothus,12,20,100
cgp01,1,1989,,004f,4,1,,ceanothus,13,15,100
cgp01,1,1989,,004f,4,1,,ceanothus,14,23,100
cgp01,1,1989,,004f,4,1,,ceanothus,15,21,100
cgp01,1,1989,,004f,4,1,,solidago,1,0,200
cgp01,1,1989,,004f,4,1,,solidago,2,0,200
cgp01,1,1989,,004f,4,1,,solidago,3,0,200
cgp01,1,1989,,004f,4,1,,solidago,4,0,200
cgp01,1,1989,,004f,4,1,,solidago,5,0,200
cgp01,1,1989,,004f,4,1,,solidago,6,0,200
cgp01,1,1989,,004f,4,1,,solidago,7,0,200
cgp01,1,1989,,004f,4,1,,solidago,8,0,200
cgp01,1,1989,,004f,4,1,,solidago,9,0,200
cgp01,1,1989,,004f,4,1,,solidago,10,0,200
cgp01,1,1989,,004f,4,1,,solidago,11,0,200
cgp01,1,1989,,004f,4,1,,solidago,12,0,200
cgp01,1,1989,,004f,4,1,,solidago,13,1,200
cgp01,1,1989,,004f,4,1,,solidago,14,2,200
cgp01,1,1989,,004f,4,1,,solidago,15,0,200
cgp01,1,1989,,004f,4,1,,solidago,16,0,200
cgp01,1,1989,,004f,4,1,,solidago,17,0,200
cgp01,1,1989,,004f,4,1,,solidago,18,0,200
cgp01,1,1989,,004f,4,1,,vernonia,1,1,50
cgp01,1,1989,,004f,4,1,,vernonia,2,0,50
cgp01,1,1989,,004f,4,1,,vernonia,3,0,50
cgp01,1,1989,,004f,4,1,,vernonia,4,0,50
cgp01,1,1989,,c01a,20,7,,ceanothus,1,34,100
cgp01,1,1989,,c01a,20,7,,ceanothus,2,40,100
cgp01,1,1989,,c01a,20,7,,ceanothus,3,30,100
cgp01,1,1989,,c01a,20,7,,ceanothus,4,36,100
cgp01,1,1989,,c01a,20,7,,ceanothus,5,36,100
cgp01,1,1989,,c01a,20,7,,ceanothus,6,43,100
cgp01,1,1989,,c01a,20,7,,ceanothus,7,37,100
cgp01,1,1989,,c01a,20,7,,ceanothus,8,32,100
cgp01,1,1989,,c01a,20,7,,ceanothus,9,36,100
