LTER.site,Locale,Species.code,Year,N.Obs,Abundance,Order,Species,Feeding,Habitat,Pollinator
KonzaPrairie,grasshopper,Melanoplus bivittatus,2003,10,150,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2004,8,35,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2005,6,13,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2006,7,19,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2007,5,27,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2008,9,31,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2009,10,37,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2010,4,4,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2011,8,27,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2012,8,69,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2013,8,239,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2014,6,129,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus bivittatus,2015,6,18,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1982,4,5,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1983,6,6,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1984,6,12,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1985,3,4,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1986,6,6,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1987,6,10,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1988,0,0,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1989,4,0,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1990,0,0,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1991,2,2,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1996,4,65,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1997,2,3,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1998,2,4,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,1999,1,1,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2000,2,2,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2001,2,4,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2002,8,565,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2003,6,25,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2004,5,9,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2005,6,17,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2006,1,1,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2007,1,1,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2008,4,8,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2009,1,1,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2010,1,1,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2011,0,0,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2012,3,5,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2013,7,27,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2014,0,0,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus confusus,2015,3,19,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1982,17,556,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1983,17,1121,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1984,21,2828,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1985,14,1050,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1986,31,932,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1987,32,1028,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1988,8,167,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1989,4,832,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1990,8,545,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1991,8,1317,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1996,4,426,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1997,10,1568,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1998,6,1679,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,1999,9,672,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2000,6,628,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2001,6,436,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2002,8,2281,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2003,10,1397,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2004,8,617,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2005,12,681,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2006,10,310,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2007,10,888,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2008,10,1071,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2009,14,480,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2010,8,148,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2011,10,488,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2012,8,1018,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2013,8,2253,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2014,7,425,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Orphulella speciosa,2015,8,208,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1982,9,15,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1983,9,27,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1984,16,96,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1985,11,23,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1986,18,28,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1987,13,20,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1988,5,7,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1989,4,17,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1990,6,26,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1991,8,57,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1996,4,7,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1997,7,26,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1998,6,38,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,1999,7,19,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2000,4,21,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2001,6,46,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2002,8,249,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2003,9,173,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2004,8,52,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2005,9,19,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2006,9,20,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2007,7,88,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2008,8,47,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2009,8,27,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2010,7,17,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2011,10,71,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2012,7,112,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2013,0,0,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2014,6,38,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Mermiria bivittata,2015,6,42,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1982,16,127,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1983,17,321,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1984,19,395,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1985,13,161,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1986,31,431,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1987,31,1056,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1988,8,123,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1989,4,413,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1990,8,272,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1991,8,307,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1996,4,28,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1997,9,162,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1998,6,169,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,1999,9,140,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2000,6,155,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2001,5,91,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2002,8,1122,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2003,10,563,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2004,8,338,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2005,12,204,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2006,10,144,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2007,10,255,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2008,9,256,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2009,11,154,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2010,7,24,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2011,8,56,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2012,8,118,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2013,8,305,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2014,8,240,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Melanoplus keeleri,2015,7,96,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1982,11,177,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1983,15,508,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1984,22,987,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1985,10,168,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1986,31,206,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1987,32,512,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1988,8,116,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1989,4,538,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1990,8,255,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1991,8,424,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1996,4,79,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1997,10,123,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1998,5,172,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,1999,6,44,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2000,6,36,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2001,4,14,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2002,8,247,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2003,9,66,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2004,5,17,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2005,9,27,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2006,7,35,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2007,7,80,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2008,9,104,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2009,10,117,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2010,7,36,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2011,10,140,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2012,8,146,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2013,8,116,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2014,7,123,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hypochlora alba,2015,6,52,Orthoptera,NA,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hesperotettix speciosus,1982,8,22,Orthoptera,Hesperotettix speciosus,herbivore,terrestrial,n
KonzaPrairie,grasshopper,Hesperotettix speciosus,1983,0,0,Orthoptera,Hesperotettix speciosus,herbivore,terrestrial,n
